scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B5_birth_parent_siblings,182,1442,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>1
B5_birth_parent_siblings,182,1652,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>2
B5_birth_parent_siblings,182,1862,3,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>2>2>0>3
B5_birth_parent_siblings,182,2072,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>4
B5_birth_parent_siblings,182,2282,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>5
B5_birth_parent_siblings,201,201,3,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>3
B5_birth_parent_siblings,201,411,4,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>4
B5_birth_parent_siblings,201,621,5,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>5
B5_birth_parent_siblings,201,831,6,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>6
B5_birth_parent_siblings,201,1041,7,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>7
B5_birth_parent_siblings,201,1251,8,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>8
B5_birth_parent_siblings,201,1461,9,True,True,close,start>split>partial_close>trim>close,0>1>-1>0>-1,1>0>1>5>9
B5_birth_parent_siblings,201,1671,10,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>10
B5_birth_parent_siblings,201,1881,0,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>0
B5_birth_parent_siblings,201,2091,1,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>1
B5_birth_parent_siblings,201,2301,2,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>1>5>2
B6_birth_parent_siblings,99,99,8,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>8
B6_birth_parent_siblings,99,2409,4,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>4
B6_birth_parent_siblings,99,4719,0,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>0
B6_birth_parent_siblings,99,7029,9,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>9
B6_birth_parent_siblings,99,9339,5,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>5
B6_birth_parent_siblings,99,11649,1,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>1
B6_birth_parent_siblings,99,13959,10,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>10
B6_birth_parent_siblings,99,16269,6,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>6
B6_birth_parent_siblings,99,18579,2,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>2
B6_birth_parent_siblings,99,20889,11,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>11
B6_birth_parent_siblings,99,23199,7,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>7
B6_birth_parent_siblings,99,25509,3,True,True,close,start>split>partial_close>trim>miss>close,0>1>-1>0>0>-1,1>0>4>1>0>3
B6_birth_parent_siblings,99,27819,12,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>4>1>0>12
B6_birth_parent_siblings,111,111,7,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>7
B6_birth_parent_siblings,111,2421,3,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>3
B6_birth_parent_siblings,111,4731,12,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>12
B6_birth_parent_siblings,111,7041,8,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>8
B6_birth_parent_siblings,111,9351,4,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>4
B6_birth_parent_siblings,111,11661,0,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>0
B6_birth_parent_siblings,111,13971,9,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>9
B6_birth_parent_siblings,111,16281,5,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>5
B6_birth_parent_siblings,111,18591,1,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>1
B6_birth_parent_siblings,111,20901,10,True,True,close,start>split>partial_close>trim>miss>close,0>1>-1>0>0>-1,1>0>1>6>1>10
B6_birth_parent_siblings,111,23211,6,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>6
B6_birth_parent_siblings,111,25521,2,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>2
B6_birth_parent_siblings,111,27831,11,False,False,miss,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,1>0>1>6>1>11
B6_birth_parent_siblings,141,141,11,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>11
B6_birth_parent_siblings,141,2451,7,False,False,miss,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,1>0>1>1>9>7
