birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,229419,19209,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,230721,20511,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,232131,21921,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,233379,23169,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,233499,23289,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,234681,24471,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,235258,25048,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,235472,25262,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,236559,26349,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,237351,27141,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,238251,28041,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,238346,28136,17,6,1,9/26-5/14,1/91,1/17,74/1547,5/221
7,239109,28899,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,240009,29799,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,240129,29919,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,241821,1581,17,13,1,17/22-11/14,1/77,1/17,60/1309,1/119
7,241888,1648,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,243351,3111,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,243699,3459,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,243981,3741,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,244719,4479,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,245391,5151,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,246633,6393,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,247269,7029,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,247804,7564,17,12,1,15/22-7/10,1/55,1/17,38/935,1/187
7,248518,8278,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,248732,8492,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,248961,8721,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,250839,10599,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,252531,12291,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,253269,13029,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,254409,14169,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,254571,14331,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,255939,15699,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,256101,15861,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,257241,17001,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,257979,17739,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,259671,19431,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,261549,21309,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,261778,21538,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,261992,21752,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,262706,22466,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,263241,23001,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,263877,23637,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,265119,24879,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,265791,25551,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,266529,26289,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,266811,26571,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,267159,26919,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,268622,28382,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,268689,28449,17,4,1,3/14-5/22,1/77,1/17,60/1309,1/119
7,270381,111,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,270501,231,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,271401,1131,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,272164,1894,17,11,1,9/14-17/26,1/91,1/17,74/1547,5/221
7,272259,1989,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,273159,2889,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,273951,3681,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,275038,4768,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,275252,4982,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,275829,5559,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,277011,6741,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
