selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,4912,9,515422,miss,-1/7,6,1/7,pure_miss
capacity_top_200,4912,10,4912,miss,-12/133,4,12/133,pure_miss
capacity_top_200,4912,11,9194092,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,4912,12,8683582,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,4912,13,8173072,miss,-14/209,3,14/209,pure_miss
capacity_top_200,4912,14,7662562,miss,-25/209,5,25/209,pure_miss
capacity_top_200,4912,15,7152052,miss,-36/209,7,36/209,pure_miss
capacity_top_200,4912,16,6641542,miss,-47/209,9,47/209,pure_miss
capacity_top_200,4912,17,6131032,miss,-58/209,11,58/209,pure_miss
capacity_top_200,4912,18,5620522,miss,-69/209,13,69/209,pure_miss
capacity_top_200,5374,0,8173534,miss,-80/209,15,80/209,pure_miss
capacity_top_200,5374,1,7663024,miss,-91/209,17,91/209,pure_miss
capacity_top_200,5374,2,7152514,miss,-102/209,19,102/209,pure_miss
capacity_top_200,5374,3,6642004,miss,-61/133,18,61/133,pure_miss
capacity_top_200,5374,4,6131494,miss,-54/133,16,54/133,pure_miss
capacity_top_200,5374,5,5620984,miss,-47/133,14,47/133,pure_miss
capacity_top_200,5374,6,5110474,miss,-40/133,12,40/133,pure_miss
capacity_top_200,5374,7,4599964,miss,-33/133,10,33/133,pure_miss
capacity_top_200,5374,8,4089454,miss,-26/133,8,26/133,pure_miss
capacity_top_200,5374,9,3578944,miss,-1/7,6,1/7,pure_miss
capacity_top_200,5374,10,3068434,miss,-12/133,4,12/133,pure_miss
capacity_top_200,5374,11,2557924,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,5374,12,2047414,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,5374,13,1536904,miss,-14/209,3,14/209,pure_miss
capacity_top_200,5374,14,1026394,miss,-25/209,5,25/209,pure_miss
capacity_top_200,5374,15,515884,miss,-36/209,7,36/209,pure_miss
capacity_top_200,5374,16,5374,miss,-47/209,9,47/209,pure_miss
capacity_top_200,5374,17,9194554,miss,-58/209,11,58/209,pure_miss
capacity_top_200,5374,18,8684044,miss,-69/209,13,69/209,pure_miss
capacity_top_200,5714,0,7152854,miss,-80/209,15,80/209,pure_miss
capacity_top_200,5714,1,6642344,miss,-69/209,13,69/209,pure_miss
capacity_top_200,5714,2,6131834,miss,-58/209,11,58/209,pure_miss
capacity_top_200,5714,3,5621324,miss,-47/209,9,47/209,pure_miss
capacity_top_200,5714,4,5110814,miss,-36/209,7,36/209,pure_miss
capacity_top_200,5714,5,4600304,miss,-25/209,5,25/209,pure_miss
capacity_top_200,5714,6,4089794,miss,-14/209,3,14/209,pure_miss
capacity_top_200,5714,7,3579284,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,5714,8,3068774,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,5714,9,2558264,miss,-12/133,4,12/133,pure_miss
capacity_top_200,5714,10,2047754,miss,-1/7,6,1/7,pure_miss
capacity_top_200,5714,11,1537244,miss,-26/133,8,26/133,pure_miss
capacity_top_200,5714,12,1026734,miss,-33/133,10,33/133,pure_miss
capacity_top_200,5714,13,516224,miss,-40/133,12,40/133,pure_miss
capacity_top_200,5714,14,5714,miss,-47/133,14,47/133,pure_miss
capacity_top_200,5714,15,9194894,miss,-54/133,16,54/133,pure_miss
capacity_top_200,5714,16,8684384,miss,-61/133,18,61/133,pure_miss
capacity_top_200,5714,17,8173874,miss,-102/209,19,102/209,pure_miss
capacity_top_200,5714,18,7663364,miss,-91/209,17,91/209,pure_miss
capacity_top_200,5836,0,1537366,miss,-80/209,15,80/209,pure_miss
capacity_top_200,5836,1,1026856,miss,-91/209,17,91/209,pure_miss
capacity_top_200,5836,2,516346,miss,-102/209,19,102/209,pure_miss
capacity_top_200,5836,3,5836,miss,-61/133,18,61/133,pure_miss
capacity_top_200,5836,4,9195016,miss,-54/133,16,54/133,pure_miss
capacity_top_200,5836,5,8684506,miss,-47/133,14,47/133,pure_miss
capacity_top_200,5836,6,8173996,miss,-40/133,12,40/133,pure_miss
capacity_top_200,5836,7,7663486,miss,-33/133,10,33/133,pure_miss
capacity_top_200,5836,8,7152976,miss,-26/133,8,26/133,pure_miss
capacity_top_200,5836,9,6642466,miss,-1/7,6,1/7,pure_miss
