parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,4,7149742,miss,0,-54/133,16,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,5,6639232,miss,0,-47/133,14,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,6,6128722,miss,0,-40/133,12,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,7,5618212,miss,0,-33/133,10,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,8,5107702,miss,0,-26/133,8,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,9,4597192,miss,0,-1/7,6,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,10,4086682,miss,0,-12/133,4,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,11,3576172,trim,0,-5/133,2,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,12,3065662,trim,0,-3/209,1,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,13,2555152,miss,0,-14/209,3,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,14,2044642,miss,0,-25/209,5,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,15,1534132,miss,0,-36/209,7,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,16,1023622,miss,0,-47/209,9,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,17,513112,miss,0,-58/209,11,False
