selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,best_lift_remainder,best_phase_margin,best_aperture_tension,best_transition_label,trim_lift_count,miss_lift_count,close_lift_count,positive_margin_lift_count,selection_failure_reason
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,131,406408,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,132,433682,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,133,462692,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,134,267416,1,9/221,9/221,8,-4/323,4/323,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,135,4929,1,1/28,1/28,4,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,136,22239,1,3/68,3/68,4,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,137,122505,1,3/68,3/68,4,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,138,141651,1,1/28,1/28,15,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,139,150261,1,1/28,1/28,15,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,140,465459,1,1/28,1/28,4,-1/76,1/76,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,141,170,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,142,292,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,143,754,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,144,1216,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,145,1556,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,146,2018,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,147,2480,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,148,2602,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,149,3064,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,150,3404,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,151,3526,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,152,4450,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,153,4790,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,154,4912,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,155,5374,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,156,5714,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,157,5836,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,158,6176,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,159,6638,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,160,7100,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,161,7222,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,162,7684,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,163,8024,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,164,8486,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,165,9070,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,166,9410,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,167,9532,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,168,9994,1,4/77,4/77,12,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;capacity_top_200;orbit_diversity_400,169,10334,1,4/77,4/77,7,-3/209,3/209,trim,2,17,0,0,trim_but_margin_negative
