seed_n,cohort_role,n,bin_index,max_branch,full_uncovered_measure,exact_complete,k50,k90,k99,k50_censored,k90_censored,k99_censored,a_branch1,a_last,residual_last,cumulative_arc_width_last
42212,band_ordinary_control,42169,6,1000,0.05441330685157236,False,220,,,False,True,True,0.9327384844399049,0.34927556744083954,0.3357096757705242,1.0103419350470615
74968,complete,74968,7,1000,0,True,380,,,False,True,True,0.9364188838458181,0.39204170022046886,0.4186606090325478,0.923390211357377
74968,local_mod6_control,74962,7,1000,0.048292053069438734,False,313,,,False,True,True,0.9363922050847797,0.40610440543914017,0.40289639806696104,0.923390211357377
74968,band_mod6_control,74986,7,1000,0.06388290695180066,False,285,,,False,True,True,0.9364722299823759,0.40023333565441277,0.385462461922453,0.923390211357377
74968,band_ordinary_control,74989,7,1000,0.04636347870548307,False,291,,,False,True,True,0.9364722299823761,0.3963291265220723,0.39317178638514777,0.923390211357377
74972,complete,74972,7,1000,0,True,380,,,False,True,True,0.936418883845818,0.3973431816123757,0.4243220512389822,0.923390211357377
74972,local_mod6_control,74966,7,1000,0.01924894844262104,False,336,,,False,True,True,0.936418883845818,0.38952614753164194,0.40371711369523183,0.923390211357377
74972,band_mod6_control,74990,7,1000,0.032974244355831905,False,311,,,False,True,True,0.9364722299823759,0.3960892911133725,0.4018991215633238,0.923390211357377
74972,band_ordinary_control,74989,7,1000,0.04636347870548307,False,291,,,False,True,True,0.9364722299823761,0.3963291265220723,0.39317178638514777,0.923390211357377
75028,complete,75028,7,1000,0,True,392,,,False,True,True,0.9365122237620236,0.38619817236520004,0.4123792114680786,0.9234302040698602
75028,local_mod6_control,75022,7,1000,0.04188111231236491,False,330,,,False,True,True,0.9365122237620236,0.4044971581331159,0.4053246541283016,0.9234302040698602
75028,band_mod6_control,74986,7,1000,0.06388290695180066,False,285,,,False,True,True,0.9364722299823759,0.40023333565441277,0.385462461922453,0.923390211357377
75028,band_ordinary_control,74989,7,1000,0.04636347870548307,False,291,,,False,True,True,0.9364722299823761,0.3963291265220723,0.39317178638514777,0.923390211357377
133292,complete,133292,8,1000,0,True,553,,,False,True,True,0.9395107543559039,0.41576206059742216,0.44253039006717304,0.864553224197431
133292,local_mod6_control,133286,8,1000,0.050870533751318,False,381,,,False,True,True,0.9395107543559038,0.4175675794158784,0.4126496158536222,0.864553224197431
133292,band_mod6_control,133346,8,1000,0.004976630368225821,False,507,,,False,True,True,0.9394882540747233,0.4173610992106307,0.4412834023474091,0.8645907275542423
133292,band_ordinary_control,133351,8,1000,0.04384147079288345,False,402,,,False,True,True,0.939473255949488,0.4296550021105557,0.4307724867649838,0.8646057256794775
133348,complete,133348,8,1000,0,True,518,,,False,True,True,0.9394882540747234,0.418336369756459,0.44528110696654444,0.8645907275542423
133348,local_mod6_control,133342,8,1000,0.08273621807898435,False,348,,,False,True,True,0.939488254074723,0.4227227246895239,0.3968318630435453,0.8645907275542424
133348,band_mod6_control,133354,8,1000,0.012229631680958586,False,481,,,False,True,True,0.9394732559494879,0.41486339347208234,0.43422650881934904,0.8646057256794775
133348,band_ordinary_control,133351,8,1000,0.04384147079288345,False,402,,,False,True,True,0.939473255949488,0.4296550021105557,0.4307724867649838,0.8646057256794775
133352,complete,133352,8,1000,0,True,531,,,False,True,True,0.939473255949488,0.42806252735009553,0.45564099311956446,0.8646057256794775
133352,local_mod6_control,133346,8,1000,0.004976630368225821,False,507,,,False,True,True,0.9394882540747233,0.4173610992106307,0.4412834023474091,0.8645907275542423
133352,band_mod6_control,133358,8,1000,0.012621562614548054,False,495,,,False,True,True,0.9394732559494879,0.42743487259392493,0.4475509004971675,0.8646057256794775
133352,band_ordinary_control,133351,8,1000,0.04384147079288345,False,402,,,False,True,True,0.939473255949488,0.4296550021105557,0.4307724867649838,0.8646057256794775
237088,complete,237088,9,1000,0,True,716,,,False,True,True,0.9424028192349675,0.44792830500686465,0.4753045044692121,0.8060813780193404
237088,local_mod6_control,237082,9,1000,0.06013141755142459,False,494,,,False,True,True,0.942394383477479,0.4441488235504157,0.4352641115292796,0.8060813780193404
237088,band_mod6_control,237136,9,1000,0.02864839508531436,False,591,,,False,True,True,0.9424028189503386,0.4466668490584892,0.4574735213921357,0.806089813634508
237088,band_ordinary_control,237137,9,1000,0.07034141620837711,False,471,,,False,True,True,0.9423986019787147,0.4441804178910529,0.4286863382158162,0.806094030606132
237092,complete,237092,9,1000,0,True,646,,,False,True,True,0.9423943836198002,0.43820918379411233,0.4649955383975458,0.8060898136345078
237092,local_mod6_control,237086,9,1000,0.004790470274401382,False,679,,,False,True,True,0.9424028192349676,0.44513120015785645,0.46964049734585434,0.8060813780193404
237092,band_mod6_control,237140,9,1000,0.04571924832472052,False,528,,,False,True,True,0.9423986019787147,0.44245321467997356,0.4424479773494847,0.806094030606132
237092,band_ordinary_control,237137,9,1000,0.07034141620837711,False,471,,,False,True,True,0.9423986019787147,0.4441804178910529,0.4286863382158162,0.806094030606132
237152,complete,237152,9,1000,0,True,683,,,False,True,True,0.9423986021565294,0.43956067110708985,0.4664275499785602,0.8061024641937405
237152,local_mod6_control,237146,9,1000,0.03262157699632473,False,550,,,False,True,True,0.9424028188792083,0.4433123833935921,0.4514170962101851,0.8060982474710617
237152,band_mod6_control,237140,9,1000,0.04571924832472052,False,528,,,False,True,True,0.9423986019787147,0.44245321467997356,0.4424479773494847,0.806094030606132
237152,band_ordinary_control,237137,9,1000,0.07034141620837711,False,471,,,False,True,True,0.9423986019787147,0.4441804178910529,0.4286863382158162,0.806094030606132
421665,complete,421665,10,1000,0,True,939,,,False,True,True,0.9451344411915961,0.46762697130617303,0.4947729666020884,0.7543535576552198
421665,local_mod6_control,421659,10,1000,0.021105471994970093,False,880,,,False,True,True,0.9451368127649691,0.4730992126964784,0.48915412363054717,0.7543511860818469
421665,band_mod6_control,421695,10,1000,0.021664174600356856,False,809,,,False,True,True,0.9451368127424671,0.46527744222628986,0.4803751072889577,0.7543559290598741
421665,band_ordinary_control,421696,10,1000,0.039998244732535215,False,718,,,False,True,True,0.9451368127424672,0.4698257933873574,0.47487485766942344,0.7543559290598741
