source,c0_n,c0_mod210,trivial_small_prime_stratum,direction,neighbor_n,neighbor_uncovered_measure,neighbor_component_count,neighbor_max_uncovered_gap
data/summaries/prc_broad_candidate_windows_r250.csv,423838,58,False,next,423839,0.050953897597835064,2209,0.0003080029691294728
data/summaries/prc_broad_candidate_windows_r250.csv,423891,111,False,prev,423890,0.05104173291282965,2059,0.00016492603058571031
data/summaries/prc_broad_candidate_windows_r250.csv,423891,111,False,next,423892,0.03578310647307992,1126,0.00021375973983894792
data/summaries/prc_broad_candidate_windows_r250.csv,423932,152,False,prev,423931,0.07286491061313558,2306,0.00029066906952868177
data/summaries/prc_broad_candidate_windows_r250.csv,423932,152,False,next,423933,0.02197871915355029,740,0.00021496523441599802
data/summaries/prc_broad_candidate_windows_r250.csv,423986,206,False,prev,423985,0.035021612273783725,974,0.0002484258575885523
data/summaries/prc_broad_candidate_windows_r250.csv,423986,206,False,next,423987,0.025971376328951634,838,0.0002022687531905154
data/summaries/prc_broad_candidate_windows_r250.csv,423988,208,True,prev,423987,0.025971376328951634,838,0.0002022687531905154
data/summaries/prc_broad_candidate_windows_r250.csv,423988,208,True,next,423989,0.06024221807434172,2416,0.0003532410066734437
data/summaries/prc_broad_candidate_windows_r250.csv,423992,2,True,prev,423991,0.09308656124523099,3126,0.0002539970908240763
data/summaries/prc_broad_candidate_windows_r250.csv,423992,2,True,next,423993,0.0224952319038092,1036,0.00017353206674497468
data/summaries/prc_broad_candidate_windows_r250.csv,424089,99,False,prev,424088,0.01803875040403241,767,0.00014420577895157827
data/summaries/prc_broad_candidate_windows_r250.csv,424089,99,False,next,424090,0.015716042892538917,514,0.00021102551150620208
data/summaries/prc_broad_candidate_windows_r250.csv,566679,99,False,prev,566678,0.07776060293143067,3987,0.00014873182530150686
data/summaries/prc_broad_candidate_windows_r250.csv,566679,99,False,next,566680,0.05638620799726757,2332,0.00015807020756386514
data/summaries/prc_broad_candidate_windows_r250.csv,566691,111,False,prev,566690,0.05793496548051974,2807,0.00016471154343539185
data/summaries/prc_broad_candidate_windows_r250.csv,566691,111,False,next,566692,0.052571194933296095,2237,0.00016794565606481626
data/summaries/prc_broad_candidate_windows_r250.csv,566704,124,False,prev,566703,0.04489855740092333,2049,0.00015973973528637941
data/summaries/prc_broad_candidate_windows_r250.csv,566704,124,False,next,566705,0.029661125296284327,1875,0.00010169912114124657
data/summaries/prc_broad_candidate_windows_r250.csv,566728,148,False,prev,566727,0.048344689850751715,2293,0.00017340065897353263
data/summaries/prc_broad_candidate_windows_r250.csv,566728,148,False,next,566729,0.0736351535829444,3985,0.0003350179890431182
data/summaries/prc_broad_candidate_windows_r250.csv,566758,178,False,prev,566757,0.03737455535763781,1736,0.00017409573205651174
data/summaries/prc_broad_candidate_windows_r250.csv,566758,178,False,next,566759,0.10403472210554374,5763,0.0002407048774583087
data/summaries/prc_broad_candidate_windows_r250.csv,566788,208,True,prev,566787,0.037530695153547095,1702,0.0001871194278354471
data/summaries/prc_broad_candidate_windows_r250.csv,566788,208,True,next,566789,0.04525733770419886,2668,0.0001704631890736552
