nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,cohort_role,seed_mod210,selected_rank,priority_label,direction_label,mod210_signed_delta,row_count,share_within_anchor_role,share_within_class_role,circular_residue_distance_median,circular_residue_distance_max,distance_minus_complete_median,sample_seed_n
5,11,118,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-56,10,0.23809523809523808,0.08849557522123894,56.0,56,7.0,2582 71882 76082 88052 215102 395282 720992 785672 799532 818012
5,11,118,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-19,7,0.16666666666666666,0.050724637681159424,19,19,-78,395319 473439 538539 610149 753369 769539 824979
5,11,118,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-57,12,0.2926829268292683,0.10714285714285714,57.0,57,1.0,48572 104012 108632 138662 184862 263402 316532 499022 614522 635312
5,11,118,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-8,12,0.2926829268292683,0.07894736842105263,8.0,8,1.0,71721 99441 143331 196461 203391 452871 642291 676941 683871 760101
5,11,118,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-20,9,0.21951219512195122,0.05625,20,20,1,147939 219549 323499 339669 499059 570669 614559 658449 834009
5,11,118,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-31,8,0.1951219512195122,0.07339449541284404,31.0,31,1.0,127138 263428 339658 450538 773938 817828 822448 924088
5,11,122,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-23,26,0.37142857142857144,0.1625,23.0,23,0.0,30549 132189 199179 236139 266169 291579 333159 356259 400149 404769
5,11,122,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-34,17,0.24285714285714285,0.1574074074074074,34,34,0,44398 85978 159898 189928 194548 266158 296188 307738 337768 439408
5,11,122,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-4,17,0.24285714285714285,0.1717171717171717,4,4,0,86008 113728 183028 194578 261568 448678 481018 485638 524908 552628
5,11,122,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-11,10,0.14285714285714285,0.06535947712418301,11.0,11,0.0,39801 303141 312381 347031 379371 418641 450981 721251 841371 880641
5,11,122,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-23,39,0.40625,0.2826086956521739,23,23,-26,729 35379 51549 102369 125469 137019 141639 240969 247899 317199
5,11,122,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-4,30,0.3125,0.28846153846153844,4.0,4,-26.0,14608 18808 44638 58078 71938 90418 134728 192058 233638 245608
5,11,122,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-11,15,0.15625,0.09933774834437085,11,11,-26,26151 51561 74241 157821 196671 268701 411921 428091 561651 675261
5,11,122,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-34,12,0.125,0.1111111111111111,34.0,34,-26.0,12268 19198 70018 79258 227098 342598 612868 672928 818458 862348
5,11,122,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-24,26,0.38235294117647056,0.1625,24.0,24,1.0,30549 132189 199179 236139 266169 291579 333159 356259 400149 404769
5,11,122,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-35,17,0.25,0.1559633027522936,35,35,1,44398 85978 159898 189928 194548 266158 296188 307738 337768 439408
5,11,122,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-5,17,0.25,0.1717171717171717,5,5,1,86008 113728 183028 194578 261568 448678 481018 485638 524908 552628
5,11,122,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-12,8,0.11764705882352941,0.05263157894736842,12.0,12,1.0,39801 303141 312381 347031 450981 721251 841371 880641
5,11,148,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-49,46,0.6301369863013698,0.2875,49.0,49,0.0,729 30759 35379 51549 88509 102369 125469 137019 141639 222489
5,11,148,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-60,11,0.1506849315068493,0.10185185185185185,60,60,0,12268 19198 79258 227098 379558 612868 672928 811528 862348 938578
5,11,148,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-30,9,0.1232876712328767,0.09090909090909091,30,30,0,245608 377278 497398 552838 728398 733018 751498 931678 984808
5,11,148,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-37,7,0.0958904109589041,0.0457516339869281,37,37,0,51561 264081 411921 428091 696051 769971 864681
5,11,148,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,-30,10,0.30303030303030304,0.09615384615384616,30.0,30,11.0,91048 97978 121078 141868 192688 511468 564598 617728 628858 887998
5,11,148,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-60,9,0.2727272727272727,0.08333333333333333,60,60,4,234238 358978 689308 714718 756298 758608 784018 901828 996538
5,11,148,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-37,8,0.24242424242424243,0.052980132450331126,37.0,37,-42.0,7881 118761 359001 444471 516081 546111 562281 693951
5,11,148,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-49,6,0.18181818181818182,0.043478260869565216,49.0,49,4.0,132189 287379 333159 450969 518379 784029
