seed_n,cohort_role,n,bin_index,max_branch,branch,cumulative_uncovered_measure,full_uncovered_measure,fill_fraction,residual_fraction,cumulative_max_gap,cumulative_component_count,exact_complete
237088,complete,237088,9,1000,6,0.8402662582812336,0,0.10837887882874467,0.8916211211712554,0.0006407135618301529,15337,True
237088,complete,237088,9,1000,7,0.8295306350859668,0,0.11977063506731561,0.8802293649326844,0.0005212060132152585,15469,True
237088,complete,237088,9,1000,8,0.8199911454219055,0,0.1298931532403887,0.8701068467596114,0.0005212060132152585,15538,True
237088,complete,237088,9,1000,9,0.8114691524155063,0,0.13893598803720866,0.8610640119627914,0.0005212060132152585,15580,True
237088,complete,237088,9,1000,10,0.8035667965569905,0,0.14732131509398774,0.8526786849060123,0.0005212060132152585,15615,True
237088,complete,237088,9,1000,11,0.7966032293704571,0,0.1547104771851902,0.8452895228148098,0.0005212060132152585,15622,True
237088,complete,237088,9,1000,12,0.7907599931054089,0,0.16091083667667783,0.8390891633233222,0.0005212060132152585,15605,True
237088,complete,237088,9,1000,13,0.7844137768846491,0,0.1676449169353846,0.8323550830646154,0.0005040866409490308,15590,True
237088,complete,237088,9,1000,14,0.7791839460531372,0,0.173194381267163,0.826805618732837,0.0005040866409490308,15568,True
237088,complete,237088,9,1000,15,0.7736687527636904,0,0.17904664865949105,0.820953351340509,0.0005040866409490308,15544,True
237088,complete,237088,9,1000,16,0.7690208809633791,0,0.18397858615526855,0.8160214138447315,0.0005040866409490308,15521,True
237088,complete,237088,9,1000,17,0.7646187445131313,0,0.1886497696029384,0.8113502303970616,0.0005040866409490308,15481,True
237088,complete,237088,9,1000,18,0.7601574151731361,0,0.19338376365403523,0.8066162363459648,0.0005040866409490308,15433,True
237088,complete,237088,9,1000,19,0.7559356887331055,0,0.19786351090633839,0.8021364890936616,0.0005040866409490308,15398,True
237088,complete,237088,9,1000,20,0.7523560540480149,0,0.20166192344504077,0.7983380765549593,0.0005040866409490308,15368,True
237088,complete,237088,9,1000,30,0.7210554012380908,0,0.2348755897998737,0.7651244102001263,0.0005040866409490308,15001,True
237088,complete,237088,9,1000,50,0.680335077229272,0,0.27808463287327523,0.7219153671267248,0.0005040866409490308,14444,True
237088,complete,237088,9,1000,100,0.6260459357342066,0,0.3356917838569031,0.6643082161430969,0.0005040866409490308,13413,True
237088,complete,237088,9,1000,200,0.5717692682212074,0,0.39328569848150113,0.6067143015184988,0.0005040866409490308,12343,True
237088,complete,237088,9,1000,500,0.5026407019782355,0,0.466639220809766,0.5333607791902341,0.0005040866409490308,10879,True
237088,complete,237088,9,1000,1000,0.44792830500686465,0,0.524695495530788,0.4753045044692121,0.0005040866409490308,9687,True
237088,local_mod6_control,237082,9,1000,1,0.942394383477479,0.06013141755142459,0.0,1.0,0.0009112036123397615,9814,False
237088,local_mod6_control,237082,9,1000,2,0.9091859942876371,0.06013141755142459,0.037640012640658804,0.9623599873593413,0.0009112036123397615,12702,False
237088,local_mod6_control,237082,9,1000,3,0.885994115404549,0.06013141755142459,0.06392682255877108,0.936073177441229,0.0006913111550256312,13973,False
237088,local_mod6_control,237082,9,1000,4,0.867470800273461,0.06013141755142459,0.0849220539653679,0.9150779460346321,0.0006913111550256312,14656,False
237088,local_mod6_control,237082,9,1000,5,0.852697538648472,0.06013141755142459,0.10166679130054836,0.8983332086994517,0.0006913111550256312,15051,False
237088,local_mod6_control,237082,9,1000,6,0.8404180733695618,0.06013141755142459,0.11558493787719998,0.8844150621228001,0.0006913111550256312,15273,False
237088,local_mod6_control,237082,9,1000,7,0.8297044908578358,0.06013141755142459,0.12772823633298475,0.8722717636670153,0.0006567933394950876,15407,False
237088,local_mod6_control,237082,9,1000,8,0.8201921683268705,0.06013141755142459,0.13850996796894985,0.8614900320310501,0.0006567933394950876,15491,False
237088,local_mod6_control,237082,9,1000,9,0.8117013818671399,0.06013141755142459,0.1481338406550467,0.8518661593449532,0.0006567933394950876,15546,False
237088,local_mod6_control,237082,9,1000,10,0.8037505828151883,0.06013141755142459,0.15714566520058476,0.8428543347994153,0.0005125650139946591,15578,False
237088,local_mod6_control,237082,9,1000,11,0.7965172033240777,0.06013141755142459,0.165344331324486,0.834655668675514,0.0005125650139946591,15580,False
237088,local_mod6_control,237082,9,1000,12,0.7904229186825298,0.06013141755142459,0.1722518916289709,0.8277481083710291,0.0005125650139946591,15556,False
237088,local_mod6_control,237082,9,1000,13,0.7842327450946353,0.06013141755142459,0.1792681371554927,0.8207318628445073,0.0004920581008909242,15536,False
237088,local_mod6_control,237082,9,1000,14,0.7788768214600985,0.06013141755142459,0.18533880297893568,0.8146611970210643,0.0004920581008909242,15524,False
237088,local_mod6_control,237082,9,1000,15,0.7734571957168174,0.06013141755142459,0.19148167188831183,0.8085183281116882,0.0004920581008909242,15491,False
237088,local_mod6_control,237082,9,1000,16,0.768602618374766,0.06013141755142459,0.1969840873013354,0.8030159126986646,0.0004920581008909242,15468,False
237088,local_mod6_control,237082,9,1000,17,0.7638868625163395,0.06013141755142459,0.20232915565459741,0.7976708443454026,0.0004920581008909242,15435,False
237088,local_mod6_control,237082,9,1000,18,0.7591444478569885,0.06013141755142459,0.20770444039679803,0.792295559603202,0.0004920581008909242,15397,False
237088,local_mod6_control,237082,9,1000,19,0.7549462622426358,0.06013141755142459,0.21246286931934283,0.7875371306806571,0.0004920581008909242,15365,False
237088,local_mod6_control,237082,9,1000,20,0.7515723124144402,0.06013141755142459,0.21628706908574039,0.7837129309142596,0.0004920581008909242,15326,False
237088,local_mod6_control,237082,9,1000,30,0.719978552623102,0.06013141755142459,0.252096981789235,0.747903018210765,0.0004920581008909242,14948,False
237088,local_mod6_control,237082,9,1000,50,0.6796312704227017,0.06013141755142459,0.2978285649550889,0.7021714350449111,0.00044322291550380477,14359,False
237088,local_mod6_control,237082,9,1000,100,0.6245349842349669,0.06013141755142459,0.3602773906630838,0.6397226093369163,0.0004148320534153038,13416,False
237088,local_mod6_control,237082,9,1000,200,0.570909044848121,0.06013141755142459,0.4210596533873932,0.5789403466126067,0.0004148320534153038,12438,False
237088,local_mod6_control,237082,9,1000,500,0.50043383481178,0.06013141755142459,0.5009397036197722,0.49906029638022775,0.0004111051917641273,10956,False
237088,local_mod6_control,237082,9,1000,1000,0.4441488235504157,0.06013141755142459,0.5647358884707204,0.4352641115292796,0.0004111051917641273,9689,False
237088,band_mod6_control,237136,9,1000,1,0.9424028189503386,0.02864839508531436,0.0,1.0,0.0009114129875312793,9814,False
237088,band_mod6_control,237136,9,1000,2,0.9092893907197581,0.02864839508531436,0.03623887049489335,0.9637611295051066,0.0009114129875312793,12650,False
237088,band_mod6_control,237136,9,1000,3,0.886121879063807,0.02864839508531436,0.06159306966577835,0.9384069303342216,0.000659006520868477,13909,False
237088,band_mod6_control,237136,9,1000,4,0.8678784966870676,0.02864839508531436,0.08155837095490702,0.918441629045093,0.0006571893478866109,14571,False
237088,band_mod6_control,237136,9,1000,5,0.8533616630791825,0.02864839508531436,0.09744538964257742,0.9025546103574226,0.0006571893478866109,14938,False
