n,p_prefix,prime_index,prefix_width_sum,poisson_prefix_baseline,product_prefix_baseline,uncovered_measure,uncovered_over_product_baseline,baseline_delta,log_uncovered_minus_log_product_baseline,component_count,max_gap,gap_p50,gap_p90,gap_p99,top_gap_share,numeric_complete_prefix
100000,13,6,1.3440226440226437,0.26079447237832387,0.19180819180819186,0.1428571428571429,0.7447916666666667,-0.04895104895104896,-0.2946507417678743,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,17,7,1.4028461734344084,0.24589610407132353,0.18052535699594527,0.1428571428571429,0.7913411458333335,-0.037668214138802364,-0.2340261199514393,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,19,8,1.4554777523817768,0.23328888295365452,0.17102402241721132,0.1428571428571429,0.8353045428240741,-0.028166879560068414,-0.17995889868116355,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,23,9,1.498956013251342,0.2233632267168868,0.16358819535559344,0.1428571428571429,0.8732729311342593,-0.02073105249845053,-0.13550713611032972,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,29,10,1.5334387718720317,0.21579232937126394,0.15794722310195228,0.1428571428571429,0.90446125010334,-0.015090080244809373,-0.1004158162990596,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,31,11,1.5656968363881607,0.20894236379016431,0.15285215138898609,0.1428571428571429,0.934609958440118,-0.00999500853184318,-0.06762599347606879,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,47,15,1.661646517015796,0.1898261706291461,0.1387040926358504,0.11960132890365449,0.8622768559371371,-0.01910276373219591,-0.14817888130387757,2,0.06976744186046513,0.059800664451827246,0.06777408637873755,0.06956810631229238,0.5833333333333334,False
100000,97,25,1.8028172010488706,0.16483386336213293,0.12031729047493521,0.09657561607766163,0.8026744593104056,-0.02374167439727358,-0.2198060528254655,3,0.0417335473515249,0.02985074626865669,0.03935698713495126,0.041495891329867536,0.4321333794854047,False
100000,199,46,1.9490340749285706,0.14241156407230274,0.1038946390008959,0.08123874622330063,0.7819339573680996,-0.022655892777595277,-0.24598499549670194,6,0.026105873821610004,0.011683517515799713,0.020440621602922315,0.02553934859974124,0.3213475716359887,False
100000,499,95,2.096709552838668,0.12286002830789179,0.08960973680803674,0.0747942449285508,0.8346664948785208,-0.014815491879485942,-0.18072304124674776,7,0.026105873821610004,0.01005025125628145,0.017256154234995165,0.02522090186294851,0.3490358629403684,False
100000,997,168,2.198080127175088,0.11101609067106057,0.08096526350684251,0.06463657029899261,0.7983247074040594,-0.016328693207849895,-0.22523986278545083,13,0.007652671490673724,0.005142352509046044,0.007132855897081613,0.007596072794467865,0.11839538291209417,False
100000,1999,303,2.292448491968832,0.10101881503966252,0.0736716087048108,0.060568199257036714,0.822137595769394,-0.013103409447774092,-0.19584750648739124,17,0.007181015688958237,0.004243544387202203,0.006421287177856727,0.007142487855456938,0.11856082526878092,False
100000,4999,669,2.405188657690577,0.09024846793609506,0.0658157198243846,0.05346895181253419,0.8124039660312893,-0.012346768011850404,-0.20775756741769946,39,0.005877097318132352,0.000832880674578429,0.0027797659562709878,0.005679085336947099,0.10991607500999566,False
100000,9973,1229,2.4830599472335644,0.08348736739664342,0.060884692455838364,0.04956667592664188,0.8141073548592561,-0.011318016529196485,-0.2056630360992533,63,0.002999855062750356,0.0006450225757901329,0.0015854987131586951,0.002857968767141058,0.06052161067226109,False
100000,19997,2262,2.5549342311717784,0.07769734196240143,0.056662062904730096,0.04627386078817697,0.8166638914290936,-0.010388202116553127,-0.20252766236733732,106,0.002090860151646945,0.0003624515370897474,0.0009270179516405741,0.0014922843435553504,0.04518447598781648,False
100000,49999,5133,2.6432503165719314,0.07112969938141118,0.05187242612287974,0.04258989849857486,0.8210508295425464,-0.009282527624304877,-0.1971702597012821,212,0.001613545123225979,0.00013766906421563974,0.0004174187884939618,0.0009531766279479007,0.03788562969409216,False
100000,99991,9592,2.705272179047281,0.06685212562225791,0.048752917851015085,0.040222015328921334,0.8250176010354193,-0.00853090252209375,-0.19235055828664827,346,0.000654510546594711,8.70267588389817e-05,0.0002623306678153914,0.0005190042100349291,0.01627244535715967,False
372759,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
372759,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.1666666666666667,0.5000000000000001,-0.16666666666666666,-0.6931471805599452,2,0.08333333333333337,0.08333333333333336,0.08333333333333337,0.08333333333333337,0.5000000000000001,False
372759,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.08333333333333334,0.3125,-0.18333333333333338,-1.163150809805681,1,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,1.0,False
372759,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.047619047619047616,0.2083333333333333,-0.180952380952381,-1.5686159179138455,1,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,1.0,False
372759,11,5,1.2670995670995668,0.2816473374460965,0.20779220779220783,0,,-0.20779220779220783,,0,0.0,0.0,0.0,0.0,0.0,True
372759,13,6,1.3440226440226437,0.26079447237832387,0.19180819180819186,0,,-0.19180819180819186,,0,0.0,0.0,0.0,0.0,0.0,True
372759,17,7,1.4028461734344084,0.24589610407132353,0.18052535699594527,0,,-0.18052535699594527,,0,0.0,0.0,0.0,0.0,0.0,True
372759,19,8,1.4554777523817768,0.23328888295365452,0.17102402241721132,0,,-0.17102402241721132,,0,0.0,0.0,0.0,0.0,0.0,True
372759,23,9,1.498956013251342,0.2233632267168868,0.16358819535559344,0,,-0.16358819535559344,,0,0.0,0.0,0.0,0.0,0.0,True
372759,29,10,1.5334387718720317,0.21579232937126394,0.15794722310195228,0,,-0.15794722310195228,,0,0.0,0.0,0.0,0.0,0.0,True
372759,31,11,1.5656968363881607,0.20894236379016431,0.15285215138898609,0,,-0.15285215138898609,,0,0.0,0.0,0.0,0.0,0.0,True
372759,47,15,1.661646517015796,0.1898261706291461,0.1387040926358504,0,,-0.1387040926358504,,0,0.0,0.0,0.0,0.0,0.0,True
372759,97,25,1.8028172010488706,0.16483386336213293,0.12031729047493521,0,,-0.12031729047493521,,0,0.0,0.0,0.0,0.0,0.0,True
372759,199,46,1.9490340749285706,0.14241156407230274,0.1038946390008959,0,,-0.1038946390008959,,0,0.0,0.0,0.0,0.0,0.0,True
372759,499,95,2.096709552838668,0.12286002830789179,0.08960973680803674,0,,-0.08960973680803674,,0,0.0,0.0,0.0,0.0,0.0,True
372759,997,168,2.198080127175088,0.11101609067106057,0.08096526350684251,0,,-0.08096526350684251,,0,0.0,0.0,0.0,0.0,0.0,True
372759,1999,303,2.292448491968832,0.10101881503966252,0.0736716087048108,0,,-0.0736716087048108,,0,0.0,0.0,0.0,0.0,0.0,True
372759,4999,669,2.405188657690577,0.09024846793609506,0.0658157198243846,0,,-0.0658157198243846,,0,0.0,0.0,0.0,0.0,0.0,True
372759,9973,1229,2.4830599472335644,0.08348736739664342,0.060884692455838364,0,,-0.060884692455838364,,0,0.0,0.0,0.0,0.0,0.0,True
372759,19997,2262,2.5549342311717784,0.07769734196240143,0.056662062904730096,0,,-0.056662062904730096,,0,0.0,0.0,0.0,0.0,0.0,True
372759,49999,5133,2.6432503165719314,0.07112969938141118,0.05187242612287974,0,,-0.05187242612287974,,0,0.0,0.0,0.0,0.0,0.0,True
372759,99991,9592,2.705272179047281,0.06685212562225791,0.048752917851015085,0,,-0.048752917851015085,,0,0.0,0.0,0.0,0.0,0.0,True
372759,199999,17984,2.76361413238326,0.0630634363895404,0.04598994955258476,0,,-0.04598994955258476,,0,0.0,0.0,0.0,0.0,0.0,True
1000000,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
1000000,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.25,0.7499999999999999,-0.08333333333333337,-0.287682072451781,1,0.25,0.25,0.25,0.25,1.0,False
1000000,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.25,0.9374999999999998,-0.01666666666666672,-0.0645385211375713,1,0.25,0.25,0.25,0.25,1.0,False
1000000,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.25,1.0937499999999998,0.02142857142857138,0.08961215868968697,1,0.25,0.25,0.25,0.25,1.0,False
