seed_mod210,selected_rank,priority_label,direction_label,cohort_role,nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,row_count,share_within_class_role,mod210_signed_delta_median,mod210_signed_delta_min,mod210_signed_delta_max,circular_residue_distance_median,circular_residue_distance_p90,circular_residue_distance_max,distance_minus_complete_median
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,111,11,0.05699481865284974,-12,-12,-12,12,12,12,-11
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,128,1,0.0051813471502590676,-29,-29,-29,29,29,29,22
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,129,2,0.010362694300518135,-30.0,-30,-30,30.0,30,30,-43.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,21,1,0.0051813471502590676,78,78,78,78,78,78,41
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,44,1,0.0051813471502590676,55,55,55,55,55,55,43
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,51,1,0.0051813471502590676,48,48,48,48,48,48,-19
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,69,1,0.0051813471502590676,30,30,30,30,30,30,-11
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,81,1,0.0051813471502590676,18,18,18,18,18,18,-61
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,88,2,0.010362694300518135,11.0,11,11,11.0,11,11,4.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,92,3,0.015544041450777202,7,7,7,7,7,7,-5
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,111,11,0.05699481865284974,-12,-12,-12,12,12,12,-11
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,118,1,0.0051813471502590676,-19,-19,-19,19,19,19,-4
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,7,17,129,1,0.0051813471502590676,-30,-30,-30,30,30,30,-37
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,8,19,62,1,0.0051813471502590676,37,37,37,37,37,37,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,8,19,86,1,0.0051813471502590676,13,13,13,13,13,13,-6
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,8,19,88,6,0.031088082901554404,11.0,11,11,11.0,11,11,-13.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,8,19,92,1,0.0051813471502590676,7,7,7,7,7,7,-16
