source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_v0_covering_candidate_windows.csv,372704,372705,0.01581742656587598,0.024448312700670022,0.008630886134794041,580,873,293,0.00013150457964983264,0.00022493745901744355,9.343287936761091e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372705,372706,0.024448312700670022,0.019085175764464113,0.005363136936205909,873,568,305,0.00022493745901744355,0.00016505730862004242,5.988015039740113e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372706,372707,0.019085175764464113,0.059265889511070924,0.04018071374660681,568,2637,2069,0.00016505730862004242,0.00018766287162086392,2.2605563000821505e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372707,372708,0.059265889511070924,0.0670435754142229,0.007777685903151976,2637,2324,313,0.00018766287162086392,0.0002213615272653735,3.369865564450958e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372708,372709,0.0670435754142229,0.011693686959117055,0.05534988845510584,2324,473,1851,0.0002213615272653735,0.00018361974731284647,3.774177995252703e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372709,372710,0.011693686959117055,0.026766635767711544,0.01507294880859449,473,860,387,0.00018361974731284647,0.00019978853704916144,1.616878973631497e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372710,372711,0.026766635767711544,0.004096099832579192,0.022670535935132352,860,82,778,0.00019978853704916144,0.00015325043434089025,4.653810270827119e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372711,372712,0.004096099832579192,0.029469705362283993,0.0253736055297048,82,815,733,0.00015325043434089025,0.0002708821237588088,0.00011763168941791857,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372712,372713,0.029469705362283993,0.05411886976324351,0.024649164400959517,815,1876,1061,0.0002708821237588088,0.0002542849190614316,1.6597204697377244e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372713,372714,0.05411886976324351,0.08645268227568853,0.03233381251244502,1876,2621,745,0.0002542849190614316,0.0002708880066641939,1.66030876027623e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372714,372715,0.08645268227568853,0.05343823541944198,0.03301444685624655,2621,1444,1177,0.0002708880066641939,0.00022593577979290735,4.495222687128653e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372715,372716,0.05343823541944198,0.018548274603091053,0.03488996081635093,1444,637,807,0.00022593577979290735,0.00016161430732869464,6.432147246421271e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372716,372717,0.018548274603091053,0.04569513100338091,0.027146856400289854,637,1390,753,0.00016161430732869464,0.0002472326658411461,8.561835851245148e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372717,372718,0.04569513100338091,0.00469687192152457,0.040998259081856336,1390,122,1268,0.0002472326658411461,0.00018881860337260914,5.8414062468536976e-05,False,False
