seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
15741,local_mod210_control,15531,-210,8,19,9699690,15531,201,1671,15538,4,7,7,7.216725482979353e-07
15741,local_any_control,15740,-1,8,19,9699690,15740,200,1880,15748,4,7,8,8.247686266262118e-07
15759,complete_uncertified,15759,0,8,19,9699690,15759,9,1899,15752,4,7,7,7.216725482979353e-07
15759,local_mod210_control,15549,-210,8,19,9699690,15549,9,1689,15542,4,7,7,7.216725482979353e-07
15759,local_any_control,15758,-1,8,19,9699690,15758,8,1898,15752,4,7,6,6.185764699696588e-07
15875,complete_uncertified,15875,0,8,19,9699690,15875,125,2015,15878,6,13,3,3.092882349848294e-07
15875,local_mod210_control,15665,-210,8,19,9699690,15665,125,1805,15628,5,11,37,3.8145548981462296e-06
15875,local_any_control,15874,-1,8,19,9699690,15874,124,2014,15878,6,13,4,4.123843133131059e-07
16552,complete_uncertified,16552,0,8,19,9699690,16552,172,382,16588,4,7,36,3.711458819817953e-06
16552,local_mod210_control,16342,-210,8,19,9699690,16342,172,172,16378,4,7,36,3.711458819817953e-06
16552,local_any_control,16551,-1,8,19,9699690,16551,171,381,16588,4,7,37,3.8145548981462296e-06
16899,complete_uncertified,16899,0,8,19,9699690,16899,99,729,16911,7,17,12,1.2371529399393177e-06
16899,local_mod210_control,16689,-210,8,19,9699690,16689,99,519,16682,7,17,7,7.216725482979353e-07
16899,local_any_control,16898,-1,8,19,9699690,16898,98,728,16911,7,17,13,1.340249018267594e-06
17216,complete_uncertified,17216,0,8,19,9699690,17216,206,1046,17218,4,7,2,2.0619215665655295e-07
17216,local_mod210_control,17006,-210,8,19,9699690,17006,206,836,17008,4,7,2,2.0619215665655295e-07
17216,local_any_control,17215,-1,8,19,9699690,17215,205,1045,17218,4,7,3,3.092882349848294e-07
