selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,204861,local_mod210_control,204651,-210,111,204651,204718,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,204861,local_any_control,204860,-1,110,204860,204812,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,220611,complete_uncertified,220611,0,111,220611,220581,6,13,30,30,0,3.092882349848294e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,220611,local_mod210_control,220821,210,111,220821,220888,5,11,67,30,37,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,220611,local_any_control,220610,-1,110,220610,220581,6,13,29,30,-1,2.9897862715200177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,221031,complete_uncertified,221031,0,111,221031,220982,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,221031,local_mod210_control,220821,-210,111,220821,220888,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,221031,local_any_control,221030,-1,110,221030,220982,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,223131,complete_uncertified,223131,0,111,223131,223198,5,11,67,67,0,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,223131,local_any_control,223130,-1,110,223130,223198,5,11,68,67,1,7.0105333263228e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,225441,complete_uncertified,225441,0,111,225441,225508,5,11,67,67,0,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,225441,local_mod210_control,225231,-210,111,225231,225272,5,11,41,67,-26,4.226939211459335e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,225441,local_any_control,225440,-1,110,225440,225508,5,11,68,67,1,7.0105333263228e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,230271,complete_uncertified,230271,0,111,230271,230259,6,13,12,12,0,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,230271,local_mod210_control,230061,-210,111,230061,230128,5,11,67,12,55,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,230271,local_any_control,230270,-1,110,230270,230259,6,13,11,12,-1,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235101,complete_uncertified,235101,0,111,235101,235078,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,235101,local_mod210_control,234891,-210,111,234891,234842,5,11,49,23,26,5.051707838085547e-06
