n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
18032,5,11,2310,1862,8,19,prefix_certificate,182,False
18051,,,,,8,19,no_prefix_certificate_within_max_k,201,False
18058,4,7,210,208,8,19,prefix_certificate,208,True
18062,4,7,210,2,8,19,prefix_certificate,2,True
18118,,,,,8,19,no_prefix_certificate_within_max_k,58,False
18171,6,13,30030,18171,8,19,prefix_certificate,111,False
18268,4,7,210,208,8,19,prefix_certificate,208,True
18272,4,7,210,2,8,19,prefix_certificate,2,True
18274,,,,,8,19,no_prefix_certificate_within_max_k,4,False
18362,5,11,2310,2192,8,19,prefix_certificate,92,False
18478,4,7,210,208,8,19,prefix_certificate,208,True
18482,4,7,210,2,8,19,prefix_certificate,2,True
18561,7,17,510510,18561,8,19,prefix_certificate,81,False
18598,5,11,2310,118,8,19,prefix_certificate,118,False
18669,,,,,8,19,no_prefix_certificate_within_max_k,189,False
18688,4,7,210,208,8,19,prefix_certificate,208,True
18692,4,7,210,2,8,19,prefix_certificate,2,True
18748,,,,,8,19,no_prefix_certificate_within_max_k,58,False
18789,7,17,510510,18789,8,19,prefix_certificate,99,False
18808,,,,,8,19,no_prefix_certificate_within_max_k,118,False
18872,,,,,8,19,no_prefix_certificate_within_max_k,182,False
18898,4,7,210,208,8,19,prefix_certificate,208,True
18902,4,7,210,2,8,19,prefix_certificate,2,True
18928,5,11,2310,448,8,19,prefix_certificate,28,False
18951,6,13,30030,18951,8,19,prefix_certificate,51,False
19022,5,11,2310,542,8,19,prefix_certificate,122,False
19066,,,,,8,19,no_prefix_certificate_within_max_k,166,False
19108,4,7,210,208,8,19,prefix_certificate,208,True
19112,4,7,210,2,8,19,prefix_certificate,2,True
19198,,,,,8,19,no_prefix_certificate_within_max_k,88,False
19232,,,,,8,19,no_prefix_certificate_within_max_k,122,False
19258,5,11,2310,778,8,19,prefix_certificate,148,False
19263,,,,,8,19,no_prefix_certificate_within_max_k,153,False
19318,4,7,210,208,8,19,prefix_certificate,208,True
19322,4,7,210,2,8,19,prefix_certificate,2,True
19329,5,11,2310,849,8,19,prefix_certificate,9,False
19352,5,11,2310,872,8,19,prefix_certificate,32,False
19442,,,,,8,19,no_prefix_certificate_within_max_k,122,False
19528,4,7,210,208,8,19,prefix_certificate,208,True
19532,4,7,210,2,8,19,prefix_certificate,2,True
19579,,,,,8,19,no_prefix_certificate_within_max_k,49,False
19588,5,11,2310,1108,8,19,prefix_certificate,58,False
19659,6,13,30030,19659,8,19,prefix_certificate,129,False
19682,5,11,2310,1202,8,19,prefix_certificate,152,False
19696,8,19,9699690,19696,8,19,prefix_certificate,166,False
19738,4,7,210,208,8,19,prefix_certificate,208,True
19742,4,7,210,2,8,19,prefix_certificate,2,True
19888,,,,,8,19,no_prefix_certificate_within_max_k,148,False
19918,5,11,2310,1438,8,19,prefix_certificate,178,False
19941,5,11,2310,1461,8,19,prefix_certificate,201,False
19948,4,7,210,208,8,19,prefix_certificate,208,True
19952,4,7,210,2,8,19,prefix_certificate,2,True
20012,5,11,2310,1532,8,19,prefix_certificate,62,False
20049,6,13,30030,20049,8,19,prefix_certificate,99,False
20121,,,,,8,19,no_prefix_certificate_within_max_k,171,False
20158,4,7,210,208,8,19,prefix_certificate,208,True
20162,4,7,210,2,8,19,prefix_certificate,2,True
20199,,,,,8,19,no_prefix_certificate_within_max_k,39,False
20248,5,11,2310,1768,8,19,prefix_certificate,88,False
20252,,,,,8,19,no_prefix_certificate_within_max_k,92,False
20319,7,17,510510,20319,8,19,prefix_certificate,159,False
