seed_n,control_role,metric,complete_n,control_n,complete_value,control_value,delta_complete_minus_control
13412,local_mod6_control,residual_gap_max,13412,13406,0.004181397630404926,0.0036952402264149864,0.0004861574039899397
13412,local_mod6_control,residual_gap_p90,13412,13406,0.00142139145022796,0.0012915277468098507,0.00012986370341810938
13412,local_mod6_control,residual_gap_entropy,13412,13406,0.9353005455647273,0.936149692089787,-0.0008491465250597408
13412,local_mod6_control,residual_gap_count,13412,13406,493.0,527.0,-34.0
13412,local_mod6_control,residual_uncovered_measure,13412,13406,0.2955972154874824,0.3009858016775198,-0.005388586190037403
13412,band_mod6_control,residual_top_gap_share,13412,13334,0.014145592080457181,0.011813917717183852,0.0023316743632733287
13412,band_mod6_control,residual_gap_max,13412,13334,0.004181397630404926,0.004017593267710118,0.00016380436269480825
13412,band_mod6_control,residual_gap_p90,13412,13334,0.00142139145022796,0.0014139116876402333,7.4797625877268126e-06
13412,band_mod6_control,residual_gap_entropy,13412,13334,0.9353005455647273,0.9383846180776104,-0.003084072512883118
13412,band_mod6_control,residual_gap_count,13412,13334,493.0,535.0,-42.0
13412,band_mod6_control,residual_uncovered_measure,13412,13334,0.2955972154874824,0.3400729007843313,-0.044475685296848866
13412,band_ordinary_control,residual_top_gap_share,13412,13335,0.014145592080457181,0.011422062106592218,0.002723529973864963
13412,band_ordinary_control,residual_gap_max,13412,13335,0.004181397630404926,0.0036219723902257694,0.0005594252401791566
13412,band_ordinary_control,residual_gap_p90,13412,13335,0.00142139145022796,0.0012929589629904759,0.00012843248723748424
13412,band_ordinary_control,residual_gap_entropy,13412,13335,0.9353005455647273,0.9371657198501644,-0.0018651742854370879
13412,band_ordinary_control,residual_gap_count,13412,13335,493.0,532.0,-39.0
13412,band_ordinary_control,residual_uncovered_measure,13412,13335,0.2955972154874824,0.31710319523961933,-0.021505979752136917
23728,local_mod6_control,residual_top_gap_share,23728,23722,0.012339529284130275,0.006853395130476042,0.005486134153654233
23728,local_mod6_control,residual_gap_max,23728,23722,0.004113001306082165,0.0022018975442521516,0.001911103761830013
23728,local_mod6_control,residual_gap_p90,23728,23722,0.0008178506892465576,0.0008596751239948741,-4.182443474831654e-05
23728,local_mod6_control,residual_gap_entropy,23728,23722,0.945058111430229,0.9434745888187793,0.0015835226114496725
23728,local_mod6_control,residual_gap_count,23728,23722,879.0,855.0,24.0
23728,local_mod6_control,residual_uncovered_measure,23728,23722,0.33331914138506463,0.3212856551143004,0.012033486270764227
23728,band_mod6_control,residual_top_gap_share,23728,23716,0.012339529284130275,0.008237993262073442,0.004101536022056833
23728,band_mod6_control,residual_gap_max,23728,23716,0.004113001306082165,0.0030483931202108794,0.0010646081858712853
23728,band_mod6_control,residual_gap_p90,23728,23716,0.0008178506892465576,0.0008442528480598482,-2.6402158813290666e-05
23728,band_mod6_control,residual_gap_entropy,23728,23716,0.945058111430229,0.9421005806648441,0.0029575307653848526
23728,band_mod6_control,residual_gap_count,23728,23716,879.0,990.0,-111.0
23728,band_mod6_control,residual_uncovered_measure,23728,23716,0.33331914138506463,0.3700407396841718,-0.03672159829910715
23728,band_ordinary_control,residual_top_gap_share,23728,23714,0.012339529284130275,0.007622019403991624,0.004717509880138651
23728,band_ordinary_control,residual_gap_max,23728,23714,0.004113001306082165,0.002443799327847551,0.0016692019782346135
23728,band_ordinary_control,residual_gap_p90,23728,23714,0.0008178506892465576,0.0007826882957979731,3.516239344858452e-05
23728,band_ordinary_control,residual_gap_entropy,23728,23714,0.945058111430229,0.9432991405150936,0.0017589709151354382
23728,band_ordinary_control,residual_gap_count,23728,23714,879.0,943.0,-64.0
23728,band_ordinary_control,residual_uncovered_measure,23728,23714,0.33331914138506463,0.3206236035777792,0.01269553780728544
23732,local_mod6_control,residual_top_gap_share,23732,23726,0.009979151379482652,0.009880751436688071,9.8399942794581e-05
23732,local_mod6_control,residual_gap_max,23732,23726,0.003214407846361511,0.003272049973332969,-5.764212697145776e-05
23732,local_mod6_control,residual_gap_p90,23732,23726,0.0008240458754699143,0.0007473003065868733,7.674556888304096e-05
23732,local_mod6_control,residual_gap_entropy,23732,23726,0.942651546113202,0.9455011646614805,-0.0028496185482784764
23732,local_mod6_control,residual_gap_count,23732,23726,868.0,966.0,-98.0
23732,local_mod6_control,residual_uncovered_measure,23732,23726,0.3221123444394683,0.3311539607386103,-0.009041616299142019
23732,band_mod6_control,residual_top_gap_share,23732,23714,0.009979151379482652,0.007622019403991624,0.0023571319754910284
23732,band_mod6_control,residual_gap_max,23732,23714,0.003214407846361511,0.002443799327847551,0.00077060851851396
23732,band_mod6_control,residual_gap_p90,23732,23714,0.0008240458754699143,0.0007826882957979731,4.13575796719412e-05
23732,band_mod6_control,residual_gap_entropy,23732,23714,0.942651546113202,0.9432991405150936,-0.0006475944018915492
23732,band_mod6_control,residual_gap_count,23732,23714,868.0,943.0,-75.0
23732,band_mod6_control,residual_uncovered_measure,23732,23714,0.3221123444394683,0.3206236035777792,0.0014887408616890974
23732,band_ordinary_control,residual_top_gap_share,23732,23713,0.009979151379482652,0.009720438529601553,0.000258712849881099
23732,band_ordinary_control,residual_gap_max,23732,23713,0.003214407846361511,0.0032368952277317398,-2.2487381370228654e-05
23732,band_ordinary_control,residual_gap_p90,23732,23713,0.0008240458754699143,0.0007520411266737116,7.200474879620264e-05
23732,band_ordinary_control,residual_gap_entropy,23732,23713,0.942651546113202,0.9435897126180295,-0.0009381665048274757
23732,band_ordinary_control,residual_gap_count,23732,23713,868.0,964.0,-96.0
23732,band_ordinary_control,residual_uncovered_measure,23732,23713,0.3221123444394683,0.3329988886689068,-0.010886544229438522
23734,local_mod6_control,residual_top_gap_share,23734,23740,0.009575737208719279,0.008841398824786028,0.0007343383839332508
23734,local_mod6_control,residual_gap_max,23734,23740,0.0032255699665262316,0.0032603525246061027,-3.478255807987107e-05
23734,local_mod6_control,residual_gap_p90,23734,23740,0.0007834048423670525,0.0008461377035763329,-6.273286120928034e-05
23734,local_mod6_control,residual_gap_entropy,23734,23740,0.9391413660148624,0.9421628704802272,-0.003021504465364755
23734,local_mod6_control,residual_gap_count,23734,23740,942.0,966.0,-24.0
23734,local_mod6_control,residual_uncovered_measure,23734,23740,0.3368482129594323,0.36875980704162015,-0.031911594082187855
23734,band_mod6_control,residual_top_gap_share,23734,23716,0.009575737208719279,0.008237993262073442,0.001337743946645837
23734,band_mod6_control,residual_gap_max,23734,23716,0.0032255699665262316,0.0030483931202108794,0.00017717684631535224
23734,band_mod6_control,residual_gap_p90,23734,23716,0.0007834048423670525,0.0008442528480598482,-6.084800569279569e-05
23734,band_mod6_control,residual_gap_entropy,23734,23716,0.9391413660148624,0.9421005806648441,-0.002959214649981723
23734,band_mod6_control,residual_gap_count,23734,23716,942.0,990.0,-48.0
