n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
59949,8,19,9699690,59949,99,2199,59942,5,11,7,7.216725482979353e-07
60321,8,19,9699690,60321,51,261,60272,4,7,49,5.051707838085547e-06
60542,8,19,9699690,60542,62,482,60508,5,11,34,3.5052666631614e-06
60609,8,19,9699690,60609,129,549,60602,5,11,7,7.216725482979353e-07
60628,8,19,9699690,60628,148,568,60602,5,11,26,2.680498036535188e-06
60928,8,19,9699690,60928,28,868,60932,5,11,4,4.123843133131059e-07
60981,8,19,9699690,60981,81,921,60999,6,13,18,1.8557294099089764e-06
61208,8,19,9699690,61208,98,1148,61168,5,11,40,4.123843133131059e-06
61442,8,19,9699690,61442,122,1382,61498,5,11,56,5.773380386383483e-06
61588,8,19,9699690,61588,58,1528,61592,5,11,4,4.123843133131059e-07
61954,8,19,9699690,61954,4,1894,61952,4,7,2,2.0619215665655295e-07
61978,8,19,9699690,61978,28,1918,61988,7,17,10,1.0309607832827647e-06
62534,8,19,9699690,62534,164,164,62559,6,13,25,2.5774019582069117e-06
62612,8,19,9699690,62612,32,242,62582,4,7,30,3.092882349848294e-06
62638,8,19,9699690,62638,58,268,62582,4,7,56,5.773380386383483e-06
62691,8,19,9699690,62691,111,321,62788,4,7,97,1.0000319597842817e-05
62968,8,19,9699690,62968,178,598,62998,4,7,30,3.092882349848294e-06
63171,8,19,9699690,63171,171,801,63148,5,11,23,2.371209801550359e-06
63309,8,19,9699690,63309,99,939,63321,7,17,12,1.2371529399393177e-06
63429,8,19,9699690,63429,9,1059,63422,4,7,7,7.216725482979353e-07
63586,8,19,9699690,63586,166,1216,63572,5,11,14,1.4433450965958706e-06
63626,8,19,9699690,63626,206,1256,63628,4,7,2,2.0619215665655295e-07
63951,8,19,9699690,63951,111,1581,63926,6,13,25,2.5774019582069117e-06
64209,8,19,9699690,64209,159,1839,64232,5,11,23,2.371209801550359e-06
64378,8,19,9699690,64378,118,2008,64468,4,7,90,9.278647049544883e-06
64461,8,19,9699690,64461,201,2091,64468,4,7,7,7.216725482979353e-07
64684,8,19,9699690,64684,4,4,64682,4,7,2,2.0619215665655295e-07
65361,8,19,9699690,65361,51,681,65312,4,7,49,5.051707838085547e-06
65612,8,19,9699690,65612,92,932,65576,8,19,36,3.711458819817953e-06
65644,8,19,9699690,65644,124,964,65576,8,19,68,7.0105333263228e-06
65672,8,19,9699690,65672,152,992,65728,4,7,56,5.773380386383483e-06
65998,8,19,9699690,65998,58,1318,65942,4,7,56,5.773380386383483e-06
66752,8,19,9699690,66752,182,2072,66778,4,7,26,2.680498036535188e-06
67172,8,19,9699690,67172,182,182,67198,4,7,26,2.680498036535188e-06
67414,8,19,9699690,67414,4,424,67412,4,7,2,2.0619215665655295e-07
67994,8,19,9699690,67994,164,1004,68038,4,7,44,4.536227446444165e-06
68421,8,19,9699690,68421,171,1431,68428,5,11,7,7.216725482979353e-07
68488,8,19,9699690,68488,28,1498,68462,4,7,26,2.680498036535188e-06
68781,8,19,9699690,68781,111,1791,68769,7,17,12,1.2371529399393177e-06
68998,8,19,9699690,68998,118,2008,69088,4,7,90,9.278647049544883e-06
69579,8,19,9699690,69579,69,279,69512,4,7,67,6.907437247994524e-06
69651,8,19,9699690,69651,141,351,69718,4,7,67,6.907437247994524e-06
69665,8,19,9699690,69665,155,365,69718,4,7,53,5.464092151398653e-06
69969,8,19,9699690,69969,39,669,69932,4,7,37,3.8145548981462296e-06
70018,8,19,9699690,70018,88,718,70041,6,13,23,2.371209801550359e-06
70569,8,19,9699690,70569,9,1269,70562,4,7,7,7.216725482979353e-07
70881,8,19,9699690,70881,111,1581,70832,5,11,49,5.051707838085547e-06
71158,8,19,9699690,71158,178,1858,71162,5,11,4,4.123843133131059e-07
71582,8,19,9699690,71582,182,2282,71601,7,17,19,1.958825488237253e-06
71614,8,19,9699690,71614,4,4,71612,4,7,2,2.0619215665655295e-07
71642,8,19,9699690,71642,32,32,71612,4,7,30,3.092882349848294e-06
71721,8,19,9699690,71721,111,111,71728,5,11,7,7.216725482979353e-07
71882,8,19,9699690,71882,62,272,71919,6,13,37,3.8145548981462296e-06
71938,8,19,9699690,71938,118,328,71919,6,13,19,1.958825488237253e-06
72249,8,19,9699690,72249,9,639,72242,4,7,7,7.216725482979353e-07
72272,8,19,9699690,72272,32,662,72242,4,7,30,3.092882349848294e-06
72281,8,19,9699690,72281,41,671,72242,4,7,39,4.020747054802782e-06
72362,8,19,9699690,72362,122,752,72339,7,17,23,2.371209801550359e-06
73496,8,19,9699690,73496,206,1886,73498,4,7,2,2.0619215665655295e-07
73941,8,19,9699690,73941,21,21,73922,4,7,19,1.958825488237253e-06
74061,8,19,9699690,74061,141,141,74038,5,11,23,2.371209801550359e-06
74162,8,19,9699690,74162,32,242,74132,4,7,30,3.092882349848294e-06
74241,8,19,9699690,74241,111,321,74259,7,17,18,1.8557294099089764e-06
74702,8,19,9699690,74702,152,782,74698,5,11,4,4.123843133131059e-07
75141,8,19,9699690,75141,171,1221,75122,5,11,19,1.958825488237253e-06
75801,8,19,9699690,75801,201,1881,75808,4,7,7,7.216725482979353e-07
76082,8,19,9699690,76082,62,2162,76112,5,11,30,3.092882349848294e-06
