seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
14608,local_any_control,14608,14607,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
14608,local_mod210_control,14608,14398,circular_residue_distance,19.0,4.0,15.0
14608,local_mod210_control,14608,14398,normalized_residue_distance,1.958825488237253e-06,4.123843133131059e-07,1.546441174924147e-06
14991,local_any_control,14991,14990,circular_residue_distance,23.0,22.0,1.0
14991,local_any_control,14991,14990,normalized_residue_distance,2.371209801550359e-06,2.2681137232220826e-06,1.0309607832827638e-07
14991,local_mod210_control,14991,14781,circular_residue_distance,23.0,49.0,-26.0
14991,local_mod210_control,14991,14781,normalized_residue_distance,2.371209801550359e-06,5.051707838085547e-06,-2.680498036535188e-06
15032,local_any_control,15032,15031,circular_residue_distance,30.0,31.0,-1.0
15032,local_any_control,15032,15031,normalized_residue_distance,3.092882349848294e-06,3.1959784281765704e-06,-1.0309607832827638e-07
15032,local_mod210_control,15032,14822,circular_residue_distance,30.0,42.0,-12.0
15032,local_mod210_control,15032,14822,normalized_residue_distance,3.092882349848294e-06,4.3300352897876115e-06,-1.2371529399393175e-06
15536,local_any_control,15536,15535,circular_residue_distance,2.0,3.0,-1.0
15536,local_any_control,15536,15535,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
15536,local_mod210_control,15536,15326,circular_residue_distance,2.0,2.0,0.0
15536,local_mod210_control,15536,15326,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
15741,local_any_control,15741,15740,circular_residue_distance,7.0,8.0,-1.0
15741,local_any_control,15741,15740,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
15741,local_mod210_control,15741,15531,circular_residue_distance,7.0,7.0,0.0
15741,local_mod210_control,15741,15531,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
15759,local_any_control,15759,15758,circular_residue_distance,7.0,6.0,1.0
15759,local_any_control,15759,15758,normalized_residue_distance,7.216725482979353e-07,6.185764699696588e-07,1.0309607832827649e-07
15759,local_mod210_control,15759,15549,circular_residue_distance,7.0,7.0,0.0
15759,local_mod210_control,15759,15549,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
15875,local_any_control,15875,15874,circular_residue_distance,3.0,4.0,-1.0
15875,local_any_control,15875,15874,normalized_residue_distance,3.092882349848294e-07,4.123843133131059e-07,-1.0309607832827649e-07
15875,local_mod210_control,15875,15665,circular_residue_distance,3.0,37.0,-34.0
15875,local_mod210_control,15875,15665,normalized_residue_distance,3.092882349848294e-07,3.8145548981462296e-06,-3.5052666631614e-06
16552,local_any_control,16552,16551,circular_residue_distance,36.0,37.0,-1.0
16552,local_any_control,16552,16551,normalized_residue_distance,3.711458819817953e-06,3.8145548981462296e-06,-1.0309607832827681e-07
16552,local_mod210_control,16552,16342,circular_residue_distance,36.0,36.0,0.0
16552,local_mod210_control,16552,16342,normalized_residue_distance,3.711458819817953e-06,3.711458819817953e-06,0.0
16899,local_any_control,16899,16898,circular_residue_distance,12.0,13.0,-1.0
16899,local_any_control,16899,16898,normalized_residue_distance,1.2371529399393177e-06,1.340249018267594e-06,-1.0309607832827638e-07
16899,local_mod210_control,16899,16689,circular_residue_distance,12.0,7.0,5.0
16899,local_mod210_control,16899,16689,normalized_residue_distance,1.2371529399393177e-06,7.216725482979353e-07,5.154803916413823e-07
17216,local_any_control,17216,17215,circular_residue_distance,2.0,3.0,-1.0
17216,local_any_control,17216,17215,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
17216,local_mod210_control,17216,17006,circular_residue_distance,2.0,2.0,0.0
17216,local_mod210_control,17216,17006,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
17266,local_any_control,17266,17265,circular_residue_distance,12.0,13.0,-1.0
17266,local_any_control,17266,17265,normalized_residue_distance,1.2371529399393177e-06,1.340249018267594e-06,-1.0309607832827638e-07
17266,local_mod210_control,17266,17056,circular_residue_distance,12.0,14.0,-2.0
17266,local_mod210_control,17266,17056,normalized_residue_distance,1.2371529399393177e-06,1.4433450965958706e-06,-2.0619215665655298e-07
17338,local_any_control,17338,17337,circular_residue_distance,19.0,18.0,1.0
17338,local_any_control,17338,17337,normalized_residue_distance,1.958825488237253e-06,1.8557294099089764e-06,1.030960783282766e-07
17338,local_mod210_control,17338,17128,circular_residue_distance,19.0,86.0,-67.0
17338,local_mod210_control,17338,17128,normalized_residue_distance,1.958825488237253e-06,8.866262736231776e-06,-6.907437247994523e-06
17349,local_any_control,17349,17348,circular_residue_distance,23.0,24.0,-1.0
17349,local_any_control,17349,17348,normalized_residue_distance,2.371209801550359e-06,2.4743058798786353e-06,-1.0309607832827638e-07
17349,local_mod210_control,17349,17139,circular_residue_distance,23.0,79.0,-56.0
17349,local_mod210_control,17349,17139,normalized_residue_distance,2.371209801550359e-06,8.144590187933842e-06,-5.773380386383483e-06
17739,local_any_control,17739,17738,circular_residue_distance,37.0,36.0,1.0
17739,local_any_control,17739,17738,normalized_residue_distance,3.8145548981462296e-06,3.711458819817953e-06,1.0309607832827681e-07
17739,local_mod210_control,17739,17529,circular_residue_distance,37.0,79.0,-42.0
17739,local_mod210_control,17739,17529,normalized_residue_distance,3.8145548981462296e-06,8.144590187933842e-06,-4.330035289787612e-06
17751,local_any_control,17751,17750,circular_residue_distance,49.0,48.0,1.0
17751,local_any_control,17751,17750,normalized_residue_distance,5.051707838085547e-06,4.948611759757271e-06,1.0309607832827638e-07
17751,local_mod210_control,17751,17541,circular_residue_distance,49.0,67.0,-18.0
17751,local_mod210_control,17751,17541,normalized_residue_distance,5.051707838085547e-06,6.907437247994524e-06,-1.8557294099089766e-06
17762,local_any_control,17762,17761,circular_residue_distance,60.0,59.0,1.0
17762,local_any_control,17762,17761,normalized_residue_distance,6.185764699696588e-06,6.082668621368312e-06,1.0309607832827638e-07
17762,local_mod210_control,17762,17552,circular_residue_distance,60.0,56.0,4.0
17762,local_mod210_control,17762,17552,normalized_residue_distance,6.185764699696588e-06,5.773380386383483e-06,4.1238431331310554e-07
17769,local_any_control,17769,17768,circular_residue_distance,67.0,66.0,1.0
17769,local_any_control,17769,17768,normalized_residue_distance,6.907437247994524e-06,6.804341169666247e-06,1.0309607832827638e-07
17769,local_mod210_control,17769,17559,circular_residue_distance,67.0,49.0,18.0
